EventId,EventTemplate,Occurrences
E0,"('Created', 'MRAppMaster', 'for', 'application', 'appattempt_', '<*>', '<*>', '<*>')",1
E1,"('Scheduled', 'snapshot', 'period', '<*>', '<*>', 'second(', 's)', '.')",1
E2,"('Http', 'request', 'log', '<*>', '<*>', 'is', 'not', 'defined')",1
E3,"('job_', '<*>', '<*>', 'Transitioned', 'from', '<*>', 'to', '<*>')",3
E4,"('Added', 'global', 'filter', ""'safety'"", '(', 'class=', 'org.apache.hadoop.http.HttpServer2$QuotingInputFilter)', '')",1
E5,"('Reduce', 'slow', 'start', 'threshold', 'not', 'met.', 'completedMapsForReduceSlowstart', '<*>')",130
E6,"('Received', 'completed', 'container', 'container_', '<*>', '<*>', '<*>', '<*>')",2
E7,"('Address', 'change', 'detected.', 'Old:', '<*>', 'New:', '<*>', '<*>')",476
E8,"('DFSOutputStream', 'ResponseProcessor', 'exception', 'for', 'block', '<*>', '<*>', '<*>')",1
E9,"('Executing', '<*>', 'tokens:', '')",1
E10,"('loaded', '<*>', 'from', 'hadoop-metrics2.properties')",1
E11,"('MRAppMaster', 'metrics', 'system', 'started')",1
E12,"('<*>', 'callQueue', 'class', 'java.util.concurrent.LinkedBlockingQueue')",2
E13,"('<*>', 'path', 'spec:', '/mapreduce/*')",1
E14,"('<*>', 'path', 'spec:', '/ws/*')",1
E15,"('Instantiated', 'MRClientService', 'at', '<*>')",1
E16,"('Registered', 'webapp', 'guice', 'modules')",1
E17,"('IPC', 'Server', 'Responder:', 'starting')",2
E18,"('Resolved', '<*>', 'to', '/default-rack')",39
E19,"('Got', 'allocated', 'containers', '<*>')",10
E20,"('Num', 'completed', 'Tasks:', '<*>')",1
E21,"('ERROR', 'IN', 'CONTACTING', 'RM.')",147
E22,"('Kind:', 'YARN_', 'AM_', 'RM_', 'TOKEN,', 'Service:', ',', 'Ident:', '(', 'appAttemptId', '{', 'application_', 'id', '{', 'id:', '<*>', 'cluster_', 'timestamp:', '<*>', '}', 'attemptId:', '<*>', '}', 'keyId:', '<*>', '')",1
E23,"('<*>', 'mapred', 'newApiCommitter.')",1
E24,"('<*>', ':', '<*>')",1
E25,"('OutputCommitter', 'is', 'org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter')",1
E26,"('maxTaskFailuresPerNode', 'is', '<*>')",1
E27,"('blacklistDisablePercent', 'is', '<*>')",1
E28,"('<*>', 'set', 'in', 'config', 'null')",1
E29,"('<*>', 'shuffle', 'token', 'in', 'serviceData')",1
E30,"('<*>', 'writing', 'History', 'Event:', 'org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@7317849d')",1
E31,"('Jetty', 'bound', 'to', 'port', '<*>')",1
