LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate
1,Jun,14,15:16:01,combo,sshd(pam_unix)[19939],authentication,E0,authentication
2,Jun,14,15:16:02,combo,sshd(pam_unix)[19937],check,E1,check
3,Jun,14,15:16:02,combo,sshd(pam_unix)[19937],authentication,E0,authentication
4,Jun,15,02:04:59,combo,sshd(pam_unix)[20882],authentication,E0,authentication
5,Jun,15,02:04:59,combo,sshd(pam_unix)[20884],authentication,E0,authentication
6,Jun,15,02:04:59,combo,sshd(pam_unix)[20883],authentication,E0,authentication
7,Jun,15,02:04:59,combo,sshd(pam_unix)[20885],authentication,E0,authentication
8,Jun,15,02:04:59,combo,sshd(pam_unix)[20886],authentication,E0,authentication
9,Jun,15,02:04:59,combo,sshd(pam_unix)[20892],authentication,E0,authentication
10,Jun,15,02:04:59,combo,sshd(pam_unix)[20893],authentication,E0,authentication
11,Jun,15,02:04:59,combo,sshd(pam_unix)[20896],authentication,E0,authentication
12,Jun,15,02:04:59,combo,sshd(pam_unix)[20897],authentication,E0,authentication
13,Jun,15,02:04:59,combo,sshd(pam_unix)[20898],authentication,E0,authentication
14,Jun,15,04:06:18,combo,su(pam_unix)[21416],session,E2,session
15,Jun,15,04:06:19,combo,su(pam_unix)[21416],session,E2,session
16,Jun,15,04:06:20,combo,logrotate,ALERT,E3,ALERT
17,Jun,15,04:12:42,combo,su(pam_unix)[22644],session,E2,session
18,Jun,15,04:12:43,combo,su(pam_unix)[22644],session,E2,session
19,Jun,15,12:12:34,combo,sshd(pam_unix)[23397],check,E1,check
20,Jun,15,12:12:34,combo,sshd(pam_unix)[23397],authentication,E0,authentication
21,Jun,15,12:12:34,combo,sshd(pam_unix)[23395],check,E1,check
22,Jun,15,12:12:34,combo,sshd(pam_unix)[23395],authentication,E0,authentication
23,Jun,15,12:12:34,combo,sshd(pam_unix)[23404],check,E1,check
24,Jun,15,12:12:34,combo,sshd(pam_unix)[23404],authentication,E0,authentication
25,Jun,15,12:12:34,combo,sshd(pam_unix)[23399],check,E1,check
26,Jun,15,12:12:34,combo,sshd(pam_unix)[23399],authentication,E0,authentication
27,Jun,15,12:12:34,combo,sshd(pam_unix)[23406],check,E1,check
28,Jun,15,12:12:34,combo,sshd(pam_unix)[23406],authentication,E0,authentication
29,Jun,15,12:12:34,combo,sshd(pam_unix)[23396],check,E1,check
30,Jun,15,12:12:34,combo,sshd(pam_unix)[23394],check,E1,check
31,Jun,15,12:12:34,combo,sshd(pam_unix)[23407],check,E1,check
32,Jun,15,12:12:34,combo,sshd(pam_unix)[23394],authentication,E0,authentication
33,Jun,15,12:12:34,combo,sshd(pam_unix)[23403],check,E1,check
34,Jun,15,12:12:34,combo,sshd(pam_unix)[23396],authentication,E0,authentication
35,Jun,15,12:12:34,combo,sshd(pam_unix)[23407],authentication,E0,authentication
36,Jun,15,12:12:34,combo,sshd(pam_unix)[23403],authentication,E0,authentication
37,Jun,15,12:12:34,combo,sshd(pam_unix)[23412],check,E1,check
38,Jun,15,12:12:34,combo,sshd(pam_unix)[23412],authentication,E0,authentication
39,Jun,15,12:13:19,combo,sshd(pam_unix)[23414],check,E1,check
40,Jun,15,12:13:19,combo,sshd(pam_unix)[23414],authentication,E0,authentication
41,Jun,15,12:13:20,combo,sshd(pam_unix)[23416],check,E1,check
42,Jun,15,12:13:20,combo,sshd(pam_unix)[23416],authentication,E0,authentication
43,Jun,15,14:53:32,combo,sshd(pam_unix)[23661],check,E1,check
44,Jun,15,14:53:32,combo,sshd(pam_unix)[23661],authentication,E0,authentication
45,Jun,15,14:53:32,combo,sshd(pam_unix)[23663],check,E1,check
46,Jun,15,14:53:32,combo,sshd(pam_unix)[23663],authentication,E0,authentication
